x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
212.40872,137.59436,137377796,0.75,0.12765957,0.0,0.0,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
212.40872,137.59436,137377834,0.7875,0.12765957,0.0064004543,0.0047510904,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
212.40872,137.59436,137377849,0.83750004,0.10638297,0.019313922,0.013229734,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
215.61334,154.68396,137377867,0.85,0.10638297,97.40254,519.43774,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
214.16617,179.14209,137377884,0.8625,0.12765957,109.09065,1398.4718,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
205.63367,209.73914,137377901,0.875,0.11702127,-296.28513,2319.696,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
194.64926,230.32861,137377918,0.90000004,0.10638297,-667.1296,2211.9214,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
171.85492,252.77551,137377934,0.8625,0.10638297,-1254.7959,1777.9001,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
151.26045,266.88733,137377951,0.90000004,0.10638297,-1643.9567,874.8064,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
128.97784,271.45508,137377968,0.90000004,0.09574468,-1674.4504,433.45633,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
112.16914,265.0199,137377984,0.875,0.10638297,-1486.0358,-310.09677,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
103.52388,249.90051,137378001,0.8625,0.12765957,-932.65656,-985.64417,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
98.936295,220.79431,137378018,0.90000004,0.11702127,-279.30963,-1938.7617,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
104.72232,198.40613,137378034,0.9125,0.12765957,360.7505,-2269.9048,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
123.211365,174.97522,137378051,0.9125,0.09574468,1081.4247,-1988.6211,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
143.89197,152.51501,137378068,0.9125,0.11702127,1696.375,-1600.089,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
167.51306,138.66516,137378085,0.8875,0.12765957,1979.0752,-1041.5825,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
190.26935,133.25378,137378101,0.9125,0.12765957,1862.2451,-538.7729,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
209.25241,134.90088,137378118,0.8875,0.12765957,1518.8823,88.24238,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
233.29922,144.21252,137378135,0.875,0.10638297,1318.7941,803.1948,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
252.65906,158.13928,137378151,0.8625,0.11702127,1274.8727,1176.742,0.020888105,-0.046396352,-0.039725304,0.0,0.0,0.0
273.505,172.57031,137378168,0.85,0.10638297,1203.0105,1325.9628,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
294.78992,179.88892,137378185,0.825,0.12765957,1260.0532,1082.0442,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
309.42978,181.67053,137378202,0.8125,0.12765957,1087.0043,518.0889,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
322.42972,177.68262,137378218,0.8125,0.10638297,799.33594,-257.67966,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
333.0142,168.92188,137378235,0.85,0.08510638,551.4384,-743.8677,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
340.62204,152.68091,137378252,0.825,0.09574468,324.06564,-1105.6786,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
341.86658,140.0542,137378268,0.83750004,0.10638297,128.18568,-1232.7291,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
339.92453,131.24854,137378285,0.825,0.09574468,-193.98839,-1016.6596,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
336.83627,126.59839,137378302,0.83750004,0.10638297,-439.3262,-545.7405,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
333.0509,123.45886,137378319,0.8625,0.10638297,-469.51822,-89.00614,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
327.66998,124.06409,137378335,0.85,0.12765957,-427.987,172.56984,0.016710483,0.058882922,0.032219887,0.0,0.0,0.0
