,user,feature,target
0,USER1,1.2482128312067302,1
1,USER1,1.050550890020296,1
2,USER1,1.6602639590447466,1
3,USER1,1.3622611557491864,1
4,USER1,1.1387778937866615,1
5,USER1,1.3814672847503415,1
6,USER1,1.5523658748273452,1
7,USER1,1.3504585520680477,1
8,USER1,1.6803152082215853,1
9,USER1,1.6981703155840817,1
10,USER1,1.4293176957708795,1
11,USER1,1.1241607551916857,1
12,USER1,1.6709753264019214,1
13,USER1,1.233379702177886,1
14,USER1,1.476965726569362,1
15,USER1,1.2618421845578092,1
16,USER1,1.5988085524064632,1
17,USER1,1.5892950003211328,1
18,USER1,1.202821156386378,1
19,USER1,1.6352573933294112,1
20,USER1,1.848148325603456,1
21,USER1,1.3014392352217872,1
22,USER1,1.4968759361701278,1
23,USER1,1.8708005384071846,1
24,USER1,1.2318765124370035,1
25,USER1,1.2290983077756343,1
26,USER1,1.26190769817742,1
27,USER1,1.703485456984698,1
28,USER1,1.5197989820450042,1
29,USER1,1.6150509730841744,1
30,USER1,1.6297180113871692,1
31,USER1,2.261694862239794,1
32,USER1,1.4712031068051474,1
33,USER1,1.8351167507006863,1
34,USER1,1.4372918244105044,1
35,USER1,1.203859752241447,1
36,USER1,1.3485856489221204,1
37,USER1,1.1095301463585292,1
38,USER1,1.2037561724434673,1
39,USER1,1.3112709963733125,1
40,USER1,1.0896148604309936,0
41,USER1,1.1481378525553152,0
42,USER1,1.254154324418127,0
43,USER1,1.2090732783125664,0
44,USER1,1.021713990321038,0
45,USER1,1.217529076502301,0
46,USER1,1.8375629179386257,0
47,USER1,1.5205946249009628,0
48,USER1,1.7698411784129413,0
49,USER1,1.5586033320958363,0
50,USER1,1.4237404004185785,0
51,USER1,1.3163545288053218,0
52,USER1,1.6463059546541194,0
53,USER1,1.3118821420501696,0
54,USER1,1.1966161341108594,0
55,USER1,1.7215494524443777,0
56,USER1,1.280840353959349,0
57,USER1,1.3647536297381513,0
58,USER1,1.3536618204896786,0
59,USER1,1.3087113592623885,0
0,USER10,1.3569324175393944,1
1,USER10,1.0371134639550987,1
2,USER10,1.12457748042248,1
3,USER10,1.1433534841883388,1
4,USER10,1.039895506635463,1
5,USER10,0.9387743535598566,1
6,USER10,1.1685070484244704,1
7,USER10,1.3488206982605548,1
8,USER10,1.0931853899334665,1
9,USER10,1.3011545794618748,1
10,USER10,1.3058282640839676,1
11,USER10,1.3337644458044133,1
12,USER10,1.2689767848210367,1
13,USER10,1.0047250310542215,1
14,USER10,1.032868691338048,1
15,USER10,1.09783809448064,1
16,USER10,1.642420664478891,1
17,USER10,1.0201124421246284,1
18,USER10,1.354005258203631,1
19,USER10,1.2708094123947107,1
20,USER10,0.8841575755959957,1
21,USER10,0.9878760974727888,1
22,USER10,1.0125671991238028,1
23,USER10,0.9078789047585225,1
24,USER10,1.395583832704113,1
25,USER10,1.3810623094416279,1
26,USER10,1.0449157451604378,1
27,USER10,1.3659397204876589,1
28,USER10,1.3224593494823709,1
29,USER10,0.8770320314941737,1
30,USER10,0.9901380284136188,1
31,USER10,0.8475504779395565,1
32,USER10,1.084588077987632,1
33,USER10,1.0989398693325283,1
34,USER10,1.0112995001678307,1
35,USER10,1.0522018047805384,1
36,USER10,1.3727977611292543,1
37,USER10,1.0164569116884852,1
38,USER10,1.296440516978003,1
39,USER10,1.0865399740192856,1
40,USER10,1.460583564532979,0
41,USER10,1.9003372654151263,0
42,USER10,2.122496763790371,0
43,USER10,1.9552073500518763,0
44,USER10,1.8875137478989759,0
45,USER10,1.5417770342436352,0
46,USER10,1.639613508061654,0
47,USER10,1.378078554186815,0
48,USER10,1.982512098710576,0
49,USER10,1.8818803943669538,0
50,USER10,1.3349912380462696,0
51,USER10,1.5909666444123747,0
52,USER10,1.6088936877876054,0
53,USER10,1.2907170486876232,0
54,USER10,1.6760385617126934,0
55,USER10,1.9505580858446672,0
56,USER10,2.204518472359601,0
57,USER10,1.8589650224157492,0
58,USER10,2.306645917313373,0
59,USER10,2.14297326842594,0
0,USER11,0.9527621294016502,1
1,USER11,1.1281238347293279,1
2,USER11,1.119988753608232,1
3,USER11,1.1020952373719892,1
4,USER11,1.12210447800496,1
5,USER11,1.280767565577626,1
6,USER11,0.8976496782756187,1
7,USER11,1.2189320344626657,1
8,USER11,1.0279773656538356,1
9,USER11,0.900939933303755,1
10,USER11,1.3380297474950995,1
11,USER11,1.015484610956051,1
12,USER11,1.4457565546384605,1
13,USER11,1.3280709541553901,1
14,USER11,0.8623916735637482,1
15,USER11,1.0181785811687405,1
16,USER11,1.4083297219824016,1
