,user,feature,target
0,USER1,1.6363316529799144e-44,1
1,USER1,4.3333787179249433e-47,1
2,USER1,8.609584135223663e-41,1
3,USER1,6.920522325630431e-47,1
4,USER1,1.2977752713093793e-45,1
5,USER1,3.753785528801868e-43,1
6,USER1,2.1265479284799062e-50,1
7,USER1,3.430631910438015e-44,1
8,USER1,2.9961461661695222e-40,1
9,USER1,6.127145943408316e-44,1
10,USER1,7.095412029819108e-39,1
11,USER1,6.219761759983931e-41,1
12,USER1,2.277099048358529e-39,1
13,USER1,6.6100365551114434e-46,1
14,USER1,1.290127841424123e-40,1
15,USER1,1.978242544773756e-48,1
16,USER1,1.928181812135317e-46,1
17,USER1,9.174458227731215e-51,1
18,USER1,8.886819467026694e-46,1
19,USER1,1.5650025294634154e-44,1
20,USER1,7.809274098186318e-52,1
21,USER1,1.970331145413176e-39,1
22,USER1,1.0654889065298744e-43,1
23,USER1,3.214247192833593e-48,1
24,USER1,8.639558667523064e-45,1
25,USER1,3.525529893258511e-39,1
26,USER1,1.7030598476525034e-43,1
27,USER1,4.317448341838544e-47,1
28,USER1,6.104489180217515e-45,1
29,USER1,3.6693286775875286e-41,1
30,USER1,6.613756954539116e-42,1
31,USER1,7.496764650812837e-45,1
32,USER1,1.8523984117261937e-48,1
33,USER1,2.323423627056192e-42,1
34,USER1,2.2421073074781096e-42,1
35,USER1,3.398939367008742e-42,1
36,USER1,1.3603882579673473e-48,1
37,USER1,1.5248970333734812e-53,1
38,USER1,1.1096263899778895e-39,1
39,USER1,4.895333225305069e-49,1
40,USER1,6.787476525596704e-41,0
41,USER1,7.600943888977121e-42,0
42,USER1,6.934733171663293e-42,0
43,USER1,4.4254724757311465e-40,0
44,USER1,3.140840452499506e-45,0
45,USER1,3.3403651103962933e-46,0
46,USER1,1.3912237753503881e-96,0
47,USER1,1.455063385167128e-111,0
48,USER1,2.731684406252572e-104,0
49,USER1,2.0844084172866531e-53,0
50,USER1,1.6645078158231063e-252,0
51,USER1,4.2434386750784556e-193,0
52,USER1,2.412645537683329e-196,0
53,USER1,3.236965458062181e-154,0
54,USER1,4.9303691986862544e-113,0
55,USER1,5.832551625301547e-169,0
56,USER1,4.601202576799736e-148,0
57,USER1,2.4439375563048685e-102,0
58,USER1,2.1823978442108158e-142,0
59,USER1,2.567941236382598e-116,0
